dataset,target_size,algorithm,props,time,oa,aa,k,selected_bands,selected_weights
ghisaconus,20,msobsdr3,0,241.885,0.732,0.652,0.652,13|18|23|30|39|44|50|57|62|67|75|81|87|91|98|106|111|117|123|129,1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1
ghisaconus,21,msobsdr3,0,239.493,0.73,0.651,0.651,12|17|23|30|35|44|47|53|59|66|72|77|82|91|97|101|106|112|117|124|129,1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1
ghisaconus,22,msobsdr3,0,246.137,0.741,0.663,0.663,12|16|22|28|32|39|45|50|56|62|67|72|79|84|89|96|101|106|113|118|123|129,1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1
ghisaconus,23,msobsdr3,0,248.137,0.739,0.662,0.662,12|17|22|28|31|39|43|49|56|60|65|71|76|81|88|91|97|105|108|114|120|124|129,1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1
ghisaconus,24,msobsdr3,0,248.298,0.736,0.662,0.662,10|15|21|27|30|36|41|47|52|57|62|67|72|78|82|88|93|98|103|108|114|119|124|129,1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1
ghisaconus,25,msobsdr3,0,251.664,0.74,0.664,0.664,12|16|21|27|31|36|39|47|51|57|61|66|71|76|81|88|91|97|100|106|110|116|121|126|130,1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1
ghisaconus,26,msobsdr3,0,255.365,0.741,0.666,0.666,10|15|19|24|28|32|39|44|48|53|57|62|67|72|77|81|87|91|96|101|106|111|116|120|125|130,1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1
ghisaconus,27,msobsdr3,0,257.412,0.738,0.663,0.663,10|15|19|23|28|32|37|42|47|51|56|61|65|70|75|79|84|88|93|97|102|107|111|116|121|125|130,1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1
ghisaconus,28,msobsdr3,0,266.625,0.742,0.667,0.667,9|13|19|23|27|31|36|40|45|50|54|58|62|67|72|76|81|85|90|94|98|103|107|112|117|121|126|130,1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1
ghisaconus,29,msobsdr3,0,269.847,0.743,0.665,0.665,9|13|17|23|27|31|36|39|44|47|52|57|61|65|70|74|79|82|87|91|96|100|104|108|113|117|122|126|130,1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1
ghisaconus,30,msobsdr3,0,277.965,0.744,0.668,0.668,11|15|19|24|27|31|35|39|44|47|53|56|61|64|70|74|77|81|87|91|94|98|102|107|111|116|118|122|128|129,1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1
lucas_r,2,msobsdr3,0,1015.534,0.332,0.112,0.112,2500|3472,1|1
lucas_r,3,msobsdr3,0,1049.177,0.688,0.076,0.076,828|2025|3437,1|1|1
lucas_r,4,msobsdr3,0,1056.333,0.569,0.09,0.09,1095|2014|2809|3522,1|1|1|1
lucas_r,5,msobsdr3,0,1335.641,0.728,0.071,0.071,679|1391|2021|2651|3455,1|1|1|1|1
lucas_r,6,msobsdr3,0,1348.428,0.755,0.068,0.068,597|1168|1865|2277|2973|3455,1|1|1|1|1|1
lucas_r,7,msobsdr3,0,1369.945,0.758,0.067,0.067,527|1074|1652|2152|2574|3183|3746,1|1|1|1|1|1|1
lucas_r,8,msobsdr3,0,1294.237,0.755,0.068,0.068,609|1157|1667|2144|2592|3016|3420|3804,1|1|1|1|1|1|1|1
lucas_r,9,msobsdr3,0,1442.339,0.755,0.068,0.068,548|1045|1511|1950|2364|2759|3135|3494|3840,1|1|1|1|1|1|1|1|1
lucas_r,10,msobsdr3,0,1328.435,0.765,0.066,0.066,491|802|1139|1558|1867|2211|2561|2980|3407|3739,1|1|1|1|1|1|1|1|1|1
lucas_r,11,msobsdr3,0,1182.985,0.779,0.064,0.064,995|1597|2039|2397|2699|2966|3207|3428|3633|3826|4009,1|1|1|1|1|1|1|1|1|1|1
lucas_r,12,msobsdr3,0,1209.076,0.792,0.062,0.062,414|766|1089|1344|1666|2026|2168|2529|2920|3239|3415|3783,1|1|1|1|1|1|1|1|1|1|1|1
lucas_r,13,msobsdr3,0,1305.869,0.779,0.064,0.064,377|677|962|1314|1544|1825|2141|2407|2612|2978|3441|3599|3822,1|1|1|1|1|1|1|1|1|1|1|1|1
lucas_r,14,msobsdr3,0,1326.149,0.788,0.063,0.063,385|680|915|1246|1422|1679|1997|2213|2496|2776|3152|3456|3600|3824,1|1|1|1|1|1|1|1|1|1|1|1|1|1
lucas_r,15,msobsdr3,0,1369.127,0.787,0.063,0.063,373|653|876|1110|1369|1612|1836|2012|2217|2538|2777|3168|3470|3611|3841,1|1|1|1|1|1|1|1|1|1|1|1|1|1|1
lucas_r,16,msobsdr3,0,1393.132,0.788,0.063,0.063,338|592|768|1027|1292|1508|1760|2021|2189|2430|2630|2964|3200|3465|3627|3883,1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1
lucas_r,17,msobsdr3,0,1426.075,0.786,0.063,0.063,307|588|861|1124|1380|1629|1870|2105|2334|2557|2775|2987|3196|3399|3598|3792|3984,1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1
lucas_r,18,msobsdr3,0,1460.305,0.782,0.064,0.064,292|558|817|1068|1312|1549|1780|2005|2224|2438|2648|2852|3052|3248|3440|3628|3812|3993,1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1
lucas_r,19,msobsdr3,0,1457.343,0.781,0.064,0.064,677|1136|1494|1788|2040|2262|2461|2643|2810|2967|3114|3253|3386|3512|3634|3751|3864|3973|4080,1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1
lucas_r,20,msobsdr3,0,1143.778,0.777,0.065,0.065,281|475|745|847|1048|1262|1393|1662|1814|1995|2192|2314|2574|2725|2969|3205|3397|3596|3736|3890,1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1
